num_Matrices;t_gpu;throughput_gpu;perf;error_gpu
1;6.648193;0.000030;0.000188;0.00000000000002
2;13.510986;0.000030;0.000185;0.00000000000004
3;0.481934;0.001245;0.007781;0.00000000000006
4;13.880127;0.000058;0.000360;0.00000000000007
5;0.628174;0.001592;0.009949;0.00000000000009
6;19.963135;0.000060;0.000376;0.00000000000010
7;0.791992;0.001768;0.011048;0.00000000000012
8;0.848877;0.001885;0.011780;0.00000000000013
9;20.641113;0.000087;0.000545;0.00000000000015
10;47.708984;0.000042;0.000262;0.00000000000017
20;1.791992;0.002232;0.013951;0.00000000000033
30;2.519043;0.002382;0.014887;0.00000000000048
40;3.479004;0.002300;0.014372;0.00000000000067
50;17.246094;0.000580;0.003624;0.00000000000086
60;126.144043;0.000095;0.000595;0.00000000000101
70;82.629150;0.000169;0.001059;0.00000000000115
80;122.969971;0.000130;0.000813;0.00000000000130
90;158.511963;0.000114;0.000710;0.00000000000143
100;160.622803;0.000125;0.000778;0.00000000000159
200;15.105957;0.002648;0.016550;0.00000000000325
300;173.680908;0.000345;0.002159;0.00000000000492
400;76.490967;0.001046;0.006537;0.00000000000649
500;85.076904;0.001175;0.007346;0.00000000000810
600;137.833008;0.000871;0.005441;0.00000000000975
700;205.324951;0.000682;0.004262;0.00000000001145
800;218.513916;0.000732;0.004576;0.00000000001310
900;313.815918;0.000574;0.003585;0.00000000001469
1000;378.922852;0.000528;0.003299;0.00000000001631
2000;607.655029;0.000658;0.004114;0.00000000003262
3000;918.162109;0.000653;0.004084;0.00000000004854
4000;1243.941162;0.000643;0.004019;0.00000000006476
5000;1619.352051;0.000618;0.003860;0.00000000008091
6000;7098.950928;0.000169;0.001056;0.00000000009715
7000;2194.790039;0.000638;0.003987;0.00000000011323
8000;674.133057;0.002373;0.014834;0.00000000012935
9000;32276.458008;0.000056;0.000349;0.00000000014518
10000;35988.539795;0.000056;0.000347;0.00000000016098
20000;66001.373047;0.000061;0.000379;0.00000000032221
30000;9612.227051;0.000624;0.003901;0.00000000048418
40000;12223.581055;0.000654;0.004090;0.00000000064599
50000;14948.329834;0.000669;0.004181;0.00000000080798
60000;18215.469971;0.000659;0.004117;0.00000000096911
70000;20817.046143;0.000673;0.004203;0.00000000112947
80000;24308.229980;0.000658;0.004114;0.00000000129050
90000;27226.075928;0.000661;0.004132;0.00000000145218
100000;30198.946045;0.000662;0.004139;0.00000000161341
200000;60727.388184;0.000659;0.004117;0.00000000322809
300000;210729.458008;0.000285;0.001780;0.00000000484429
400000;121033.326904;0.000661;0.004131;0.00000000645651
500000;151646.739014;0.000659;0.004121;0.00000000806963
